Group,Team,Confederation,FIFA_Ranking,Key_Player_1,KP1_Position,KP1_Club,KP1_Notable_Achievement,Key_Player_2,KP2_Position,KP2_Club,KP2_Notable_Achievement,Team_Best_WC_Finish,WC_Debut,Notes,Key_Player_3,KP3_Position,KP3_Club,KP3_Notable_Achievement,Key_Player_4,KP4_Position,KP4_Club,KP4_Notable_Achievement,Key_Player_5,KP5_Position,KP5_Club,KP5_Notable_Achievement,Key_Player_6,KP6_Position,KP6_Club,KP6_Notable_Achievement
C,Haiti,CONCACAF,75,Duckens Nazon,Forward,Esteghlal Tehran,10+ goals in MLS 2024; top scorer in CONCACAF qualifying round,Jean-Ricner Bellegarde,Midfielder,Wolverhampton Wanderers,Premier League squad member at Wolves; Haiti's no.10; creative force in 2026 CONCACAF qualifying,Group stage (1974),No,Return to WC after 52 years; second-ever appearance,,,,,,,,,,,,,,,,
C,Scotland,UEFA,47,Andy Robertson,Defender,Liverpool,Won Champions League 2019 & Premier League 2020; 80+ caps,Scott McTominay,Midfielder,Napoli,Scored crucial qualifying goals for Scotland; key Serie A performer 2024-25,Group stage (multiple),No,First WC since 1998; faces Brazil & Morocco in tough group,John McGinn,Midfielder,Aston Villa,Aston Villa captain; Scotland's most consistent midfielder; UCL performer 2024-25,,,,,,,,,,,,
D,United States,CONCACAF,16,Christian Pulisic,Forward/Winger,AC Milan,Scored 15+ Serie A goals 2024-25; USMNT captain & best player,Tyler Adams,Midfielder,Bournemouth,Recovered from injury; key defensive midfielder for USMNT,Third place (1930),No,Co-host; opens vs Paraguay at SoFi Stadium June 12,Weston McKennie,Midfielder,Juventus,Juventus midfielder; 80+ USMNT caps; experienced Serie A and UCL performer,Giovanni Reyna,Midfielder,Borussia Mönchengladbach,Son of Claudio Reyna; Bundesliga creative force; USMNT's most technically gifted player,,,,,,,,
D,Paraguay,CONMEBOL,50,Miguel Almiron,Midfielder/Forward,Atlanta United,Returned to MLS with impact; 30+ Premier League goals for Newcastle,Antonio Sanabria,Forward,US Cremonese,Serie A striker; Paraguay's no.9; 20+ international goals; consistent scorer in CONMEBOL qualifying,Quarter-finals (1954 & 1986),No,Qualified 6th in CONMEBOL; only 4 losses in qualifying,Diego Gomez,Midfielder,Brighton & Hove Albion,Brighton Premier League midfielder; Paraguay's most high-profile young player in European football,,,,,,,,,,,,
D,Australia,AFC,26,Mathew Ryan,Goalkeeper,Real Sociedad,400+ professional appearances; saved key penalties in 2022 WC,Mathew Leckie,Winger,Melbourne City,Scored iconic goal vs Denmark in 2022 WC to reach R16,Round of 16 (2006 & 2022),No,Qualified 2nd in Asian Group C behind Japan,,,,,,,,,,,,,,,,
D,Türkiye,UEFA,42,Hakan Calhanoglu,Midfielder,Inter Milan,Won Serie A 2023-24; Champions League finalist 2023; Turkey's playmaker,Arda Guler,Midfielder,Real Madrid,Euro 2024 standout performer; scored stunning long-range goals,Third place (2002),No,Through UEFA playoff; first WC since 2002 third-place finish,Kenan Yildiz,Forward/Winger,Juventus,Juventus no.11; Turkey's 21-year-old sensation; scored on debut for both club and country; tipped as world-class,,,,,,,,,,,,
E,Germany,UEFA,10,Florian Wirtz,Midfielder,Liverpool,Moved to Liverpool 2025; Bundesliga POTY 2023-24; Germany's most creative force; one of Europe's best,Jamal Musiala,Midfielder,Bayern Munich,Youngest German scorer at major tournament; 2023-24 Bundesliga title,Winners (1954/1974/1990/2014),No,UEFA qualifying group winners; strong squad post-2022 rebuild,Kai Havertz,Forward/Midfielder,Arsenal,Arsenal versatile attacker; 20+ goal contributions 2024-25; FA Cup and Champions League experience,,,,,,,,,,,,
E,Curaçao,CONCACAF,68,Tahith Chong,Midfielder/Winger,Sheffield United,Former Manchester United academy product; EFL Championship regular; Curaçao's most high-profile European-based player,Leandro Bacuna,Midfielder,Millwall,Consistent Championship performer; 60+ international caps,Never (debut),Yes,Smallest nation ever to qualify for a World Cup; historic debut,,,,,,,,,,,,,,,,
E,Ivory Coast,CAF,33,Amad Diallo,Forward/Winger,Manchester United,Manchester United breakthrough star 2024-25; scored crucial EPL goals; Ivory Coast's most exciting young talent,Simon Adingra,Winger,AS Monaco,AFCON 2023 winner; moved to AS Monaco; dynamic winger and key attacking threat,Group stage (2006/2010/2014),No,First WC since 2014; AFCON 2023 champions,Seko Fofana,Midfielder,FC Porto,FC Porto midfield anchor; Ivory Coast's experienced and dominant central midfielder; 60+ caps,Ange-Yoan Bonny,Forward,FC Internazionale Milano,Inter Milan striker; Ivory Coast's most exciting young forward at 22; Serie A champion 2023-24,,,,,,,,
E,Ecuador,CONMEBOL,24,Enner Valencia,Forward,Club Aucas,Ecuador's all-time top scorer; scored 3 goals in 2022 WC,Moisés Caicedo,Midfielder,Chelsea,One of world's best defensive midfielders; £115m Chelsea signing,Round of 16 (2006),No,Finished 2nd in CONMEBOL qualifying,Kendry Paez,Midfielder,CA River Plate,Ecuador's generational 19-year-old talent; River Plate's creative engine; signed by Chelsea for future transfer,,,,,,,,,,,,
F,Netherlands,UEFA,7,Virgil van Dijk,Defender,Liverpool,PL champion 2019-20; consistent Ballon d'Or contender; Dutch captain,Cody Gakpo,Forward,Liverpool,Scored 3 goals at 2022 WC; consistent UCL & EPL performer,Runner-up (1974/1978/2010),No,Qualified as UEFA group winners,Frenkie de Jong,Midfielder,FC Barcelona,Barcelona midfield maestro; 100+ Netherlands caps; one of best midfielders in world football,Tijjani Reijnders,Midfielder,Manchester City,Manchester City midfielder; breakout star of 2024-25; Netherlands new midfield heartbeat,,,,,,,,
F,Japan,AFC,18,Takefusa Kubo,Midfielder/Forward,Real Sociedad,Japan's most creative player; La Liga regular at Real Sociedad; scored in 2022 WC; former Real Madrid youth,Ritsu Doan,Midfielder/Winger,Eintracht Frankfurt,Scored iconic goals at 2022 WC vs Germany & Spain; Bundesliga regular at Eintracht Frankfurt,Round of 16 (2002/2010/2018/2022),No,Asian qualifying group winners; consistent R16 side,Wataru Endo,Midfielder,Liverpool,Liverpool's defensive midfielder; Japan's most decorated current player abroad; 100+ international caps,,,,,,,,,,,,
F,Sweden,UEFA,39,Viktor Gyökeres,Forward,Arsenal,Moved to Arsenal 2025; scored 40+ goals in 2024-25; one of the most lethal strikers in world football,Alexander Isak,Forward,Liverpool,Liverpool no.9; scored 25+ EPL goals 2024-25; one of best strikers in England,Runner-up (1958),No,Through UEFA playoff; both Gyokeres and Isak are world-class,Lucas Bergvall,Midfielder,Tottenham Hotspur,Tottenham's 20-year-old Swedish prodigy; Spurs' most creative young midfielder; Sweden's next generation,,,,,,,,,,,,
F,Tunisia,CAF,40,Hannibal Mejbri,Midfielder,Burnley,Young starlet; key to Tunisia's 2026 campaign; 20+ EPL appearances,Ismael Gharbi,Midfielder,FC Augsburg,Bundesliga midfielder at FC Augsburg; Tunisia's most exciting emerging talent; 22 years old,Group stage (6 appearances),No,Consistent African qualifier,Ellyes Skhiri,Midfielder,Eintracht Frankfurt,Eintracht Frankfurt midfield anchor; Tunisia's most experienced Bundesliga player; 80+ international caps,,,,,,,,,,,,
G,Belgium,UEFA,9,Kevin De Bruyne,Midfielder,SSC Napoli,Moved to Napoli; still world-class; 5x PL winner; Belgium's greatest-ever player,Romelu Lukaku,Forward,SSC Napoli,Moved to Napoli alongside De Bruyne; Belgium's all-time top scorer (80+ goals); still a force at 33,Semi-finals (2018),No,Last tournament for Golden Generation; De Bruyne's prime years,Jeremy Doku,Forward/Winger,Manchester City,Manchester City's explosive winger; Belgium's most dangerous attacker in open play; 2024-25 PL winner,,,,,,,,,,,,
G,Egypt,CAF,29,Mohamed Salah,Forward,Liverpool,Won 2024-25 PL Golden Boot; 3x PL champion; Egypt's greatest player,Mohamed Elshenawy,Goalkeeper,Al Ahly,Egypt's no.1 goalkeeper; key shot-stopper at Al Ahly; saved vital penalties in 2026 qualification,Round of 16 (1934),No,Salah's first World Cup; Egypt's return to WC stage,Omar Marmoush,Forward,Manchester City,Breakout EPL star; scored 17+ Man City goals 2024-25; Egypt's second global superstar alongside Salah,,,,,,,,,,,,
G,Iran,AFC,21,Mehdi Taremi,Forward,Olympiacos,Moved to Olympiacos; scored iconic bicycle kick in 2023 UCL semifinal vs Atletico when at Inter; 60+ Iran goals,Alireza Jahanbakhsh,Midfielder/Winger,Feyenoord,Eredivisie performer; 80+ international caps,Group stage (6 appearances),No,Won Asian qualifying; consistent WC participant since 1978,,,,,,,,,,,,,,,,
G,New Zealand,OFC,85,Chris Wood,Forward,Nottingham Forest,25+ EPL goals for Forest 2024-25; NZ all-time top scorer with 35+ goals,Liberato Cacace,Defender,Empoli,Consistent Serie A performer; best NZ defender,Round of 16 (1982),No,Lowest ranked team at the tournament (FIFA 85th),,,,,,,,,,,,,,,,
H,Spain,UEFA,2,Lamine Yamal,Winger,Barcelona,Euro 2024 winner & POTY at 16; youngest scorer at a major European championship,Pedri,Midfielder,Barcelona,Consistent Ballon d'Or contender; Euro 2024 winner,Winners (2010),No,Euro 2024 champions; strong favorites for World Cup title,Rodri,Midfielder,Manchester City,Ballon d'Or 2023; world's best defensive midfielder; PL winner 5x with Man City; Spain's midfield general,Dani Olmo,Midfielder/Forward,FC Barcelona,Euro 2024 winner; Barcelona creative force; 15+ goal contributions; Spain's most versatile attacking player,,,,,,,,
H,Cape Verde,CAF,55,Garry Rodrigues,Winger,Galatasaray,Scored qualifier goals; top scorer in Cape Verde history; 50+ international caps,Ryan Mendes,Midfielder,Casa Pia,Veteran creative player; 60+ caps for Cape Verde,Never (debut),Yes,First-ever World Cup appearance for the island nation,,,,,,,,,,,,,,,,
H,Saudi Arabia,AFC,57,Salem Aldawsari,Winger,Al Hilal SC,Scored iconic winner vs Argentina in 2022 WC; Al Hilal winger; Saudi Arabia's most celebrated player,Mohammed Alowais,Goalkeeper,Al Ula Saudi FC,AFC Champions League winner; best goalkeeper in Asian football; crucial to Saudi qualification,Round of 16 (1994),No,Known for 2022 upset vs Argentina; strong domestic league,,,,,,,,,,,,,,,,
H,Uruguay,CONMEBOL,17,Darwin Nunez,Forward,Al Hilal SC,Moved to Al Hilal; still one of world's top strikers; 20+ goals in 2024-25; Uruguay's main goal threat,Federico Valverde,Midfielder,Real Madrid,Won La Liga 2023-24; key to Uruguay and Real Madrid's midfield,Winners (1930 & 1950),No,2x world champions; qualified 4th in CONMEBOL,Manuel Ugarte,Midfielder,Manchester United,Manchester United DM; Uruguay's midfield shield; one of best ball-winning midfielders in Europe; 25 years old,,,,,,,,,,,,
I,France,UEFA,1,Kylian Mbappé,Forward,Real Madrid,Won La Liga 2023-24; scored hat-trick in 2022 WC final; world's best player,Ousmane Dembélé,Forward/Winger,Paris Saint-Germain,Ballon d'Or 2025 winner; won UCL 2024 with PSG,Winners (1998 & 2018),No,World No.1 ranked team; 2018 champions & 2022 runners-up; fielding their strongest squad in years with Mbappe leading a golden generation,Michael Olise,Forward/Winger,FC Bayern München,Bayern Munich no.11; Bundesliga winner 2024-25; one of Europe's most explosive young forwards,Desire Doue,Forward/Winger,Paris Saint-Germain,PSG's 21-year-old sensation; Ligue 1 winner 2024-25; France's next generational talent after Mbappe,,,,,,,,
I,Senegal,CAF,14,Sadio Mané,Forward,Al-Nassr,AFCON 2021 winner & Player of Tournament; 115+ international caps,Ismaila Sarr,Winger,Crystal Palace,Scored in EPL 2024-25 season; 50+ international caps,Quarter-finals (2002),No,Won 2021 AFCON; controversial AFCON 2025 title stripped,Nicolas Jackson,Forward,FC Bayern München,Moved to Bayern Munich; scored 20+ Bundesliga goals; Senegal's most prolific striker in European football,Pape Matar Sarr,Midfielder,Tottenham Hotspur,Tottenham midfielder; Senegal's 23-year-old rising star; consistent Premier League performer,,,,,,,,
I,Iraq,AFC,61,Aymen Hussein,Forward,Al-Shorta,Top scorer in Iraqi Premier League; 30+ international goals,Ali Alhamadi,Forward,Luton Town,Forward at Luton Town (ENG); Iraq's key attacker; important goal scorer in 2026 AFC qualifying,Group stage (1986),No,Return to WC after 40 years via inter-conf playoff,Zidane Iqbal,Midfielder,FC Utrecht,Former Manchester United academy; FC Utrecht regular; Iraq's most high-profile young player in European football,,,,,,,,,,,,
I,Norway,UEFA,44,Erling Haaland,Forward,Manchester City,Scored 40+ goals in 2024-25 PL season; 2x PL champion; PL top scorer record holder,Martin Odegaard,Midfielder,Arsenal,Arsenal captain; scored 15+ EPL goals 2024-25; Norway's creative no.10 and leader on the pitch,Round of 16 (1994 & 1998),No,Haaland's first World Cup; Norway's first since 1998,Alexander Sorloth,Forward,Atlético De Madrid,Atletico Madrid striker; La Liga regular; Norway's third option when Haaland needs support; 20+ international goals,,,,,,,,,,,,
J,Argentina,CONMEBOL,3,Lionel Messi,Forward/Attacking Mid,Inter Miami,8x Ballon d'Or; 2022 World Cup winner; greatest player of all time,Julian Alvarez,Forward,Atletico Madrid,Scored 4 goals at 2022 WC; La Liga 2023-24 top scorer,Winners (1978/1986/2022),No,Defending champions; Messi's likely final World Cup,Lautaro Martinez,Forward,FC Internazionale Milano,Inter Milan captain; Serie A top scorer 2023-24; 2022 WC winner; Argentina's most dangerous centre-forward,Alexis Mac Allister,Midfielder,Liverpool,Liverpool PL winner 2024-25; 2022 WC winner with Argentina; one of best midfielders in Premier League,,,,,,,,
J,Algeria,CAF,36,Riyad Mahrez,Winger,Al Ahli FC,Won PL title 2019 & 2021-22 with Man City; AFCON 2019 winner,Fares Chaibi,Midfielder,Eintracht Frankfurt,Algeria no.10 at Eintracht Frankfurt; Bundesliga regular; creative playmaker driving Algeria's attack,Round of 16 (2014),No,First WC since 2014; qualified from Group C of CAF,Amine Gouiri,Forward,Olympique Marseille,Marseille striker; consistent Ligue 1 performer; Algeria's most exciting young forward; 20+ Ligue 1 appearances,,,,,,,,,,,,
J,Austria,UEFA,23,Marcel Sabitzer,Midfielder,Borussia Dortmund,UCL finalist 2024; scored in Bundesliga regularly; 80+ Austria caps,Marko Arnautovic,Forward,FK Crvena Zvezda,Moved to Red Star Belgrade; Austria's all-time top scorer (35+ goals); veteran big-game experience,Third place (1954),No,Returned to WC after decades; in Argentina's group,Christoph Baumgartner,Midfielder,RB Leipzig,RB Leipzig creative midfielder; Austria's most consistent Bundesliga performer; 50+ international caps,,,,,,,,,,,,
J,Jordan,AFC,70,Mousa Altamari,Forward,Stade Rennais,Jordan's best player abroad; Ligue 1 attacker at Stade Rennais; top scorer in 2026 WC qualifying,Ali Olwan,Forward,Al Sailiya SC,Jordan's leading striker; key goal scorer for the national team in historic WC qualification campaign,Never (debut),Yes,First-ever World Cup for Jordan; historic milestone for Asian football,,,,,,,,,,,,,,,,
K,Portugal,UEFA,5,Cristiano Ronaldo,Forward,Al Nassr FC,5x Ballon d'Or; 5x UCL winner; all-time top international scorer (135+ goals),Rafael Leao,Forward/Winger,AC Milan,AC Milan no.17; Portugal's most dynamic attacker; Serie A Player of Year 2022-23; 20+ goal contributions 2024-25,Semi-finals (1966 & 2006),No,"Ronaldo's record 6th World Cup at 41; Portugal's golden generation at full strength — Leao, Neves, Vitinha, Fernandes all in their prime",Bruno Fernandes,Midfielder,Manchester United,Man Utd captain; 30+ goal contributions 2024-25; Portugal creative talisman,Vitinha,Midfielder,Paris Saint-Germain,PSG no.23; Ligue 1 winner 2024-25; Portugal engine room; exceptional pressing and passing,João Neves,Midfielder,Paris Saint-Germain,PSG no.15; Portugal's 21-year-old midfield prodigy; breakout star of the new generation,,,,
K,DR Congo,CAF,51,Cedric Bakambu,Forward,Al-Qadsiah,50+ international goals; veteran of African football,Yoane Wissa,Forward,Newcastle United,Moved to Newcastle United; scored 15+ EPL goals; DR Congo's most dangerous striker in European football,Group stage (1974),No,Return to WC after 52 years via inter-conf playoff; second-ever appearance,Ngalayel Mukau,Midfielder,Lille OSC,Lille midfield sensation; DR Congo's 21-year-old rising star in Ligue 1; one of Africa's brightest young talents,,,,,,,,,,,,
K,Uzbekistan,AFC,54,Eldor Shomurodov,Forward,Başakşehir FK,Başakşehir striker; Uzbekistan's all-time top scorer; leading the nation's historic first WC campaign,Jaloliddin Masharipov,Midfielder/Winger,Lokomotiv Tashkent,Consistent AFC qualifier performer; creative player,Never (debut),Yes,First-ever World Cup; historic debut for Central Asian nation,Abbosbek Fayzullaev,Midfielder,Başakşehir FK,Uzbekistan's 22-year-old midfield talent; consistent Turkish Super Lig performer; bright future in European football,,,,,,,,,,,,
K,Colombia,CONMEBOL,13,Luis Diaz,Forward,FC Bayern München,Moved to Bayern Munich 2025; Liverpool PL winner 2024-25; one of world's best wingers; 60+ Colombia goals,James Rodriguez,Midfielder,Minnesota United,2014 WC Golden Boot winner; veteran playmaker at Minnesota United; Colombia's most technically gifted player,Quarter-finals (2014),No,Qualified 3rd in CONMEBOL; strong squad,Cucho Hernandez,Forward,Real Betis,Real Betis La Liga striker; Colombia's most prolific goal scorer in qualifying; 20+ international goals,,,,,,,,,,,,
L,England,UEFA,4,Harry Kane,Forward,Bayern Munich,Bundesliga top scorer 2024-25 (30+ goals); England's all-time top scorer (65+ goals),Jude Bellingham,Midfielder,Real Madrid,Won La Liga 2023-24; key Real Madrid star; 80m transfer fee player,Winners (1966),No,Kane's 1st World Cup win opportunity; strong squad,Bukayo Saka,Forward/Winger,Arsenal,Arsenal no.7; scored 20+ goal contributions 2024-25; one of world's best wingers; England's most consistent performer,Declan Rice,Midfielder,Arsenal,Arsenal captain; world's best box-to-box midfielder; FA Cup winner 2024; England's defensive midfield anchor,,,,,,,,
L,Croatia,UEFA,11,Luka Modric,Midfielder,AC Milan,Moved to AC Milan; 5x UCL winner; 2018 Ballon d'Or; likely final WC at 40; Croatia's eternal captain,Mateo Kovacic,Midfielder,Manchester City,Won PL 2023-24; 5x UCL winner; key Croatian midfielder,Runner-up (2018),No,Led by ageing Modric; 2018 WC finalists,Andrej Kramaric,Forward,TSG Hoffenheim,Hoffenheim's all-time top scorer; Croatia's most reliable striker; 60+ international goals,Petar Sucic,Midfielder,FC Internazionale Milano,Inter Milan's rising star at 22; Croatia's next midfield great after Modric; Serie A experience,,,,,,,,
L,Ghana,CAF,55,Thomas Partey,Midfielder,Villarreal,Former Arsenal; now at Villarreal (La Liga); Ghana's most decorated midfielder; dominant box-to-box presence,Jordan Ayew,Forward,Leicester City,Veteran forward; 60+ international caps; scored in EPL,Quarter-finals (2010),No,Back at WC after missing 2022; Black Stars with strong squad,Fatawu Issahaku,Forward/Winger,Leicester City,Leicester City's 22-year-old Ghanaian winger; Ghana's most exciting young attacker; consistent Championship performer,Antoine Semenyo,Forward/Winger,Manchester City,Moved to Manchester City; Ghana's Premier League representative; pacey and direct winger with big-club pedigree,,,,,,,,
L,Panama,CONCACAF,53,Adalberto Carrasquilla,Midfielder,Pumas UNAM,Panama's most creative midfielder; key architect of CONCACAF qualification; consistent attacking contributor,Tomas Rodriguez,Forward,Deportivo Saprissa,Panama's no.9; top striker in CONCACAF qualifying; Deportivo Saprissa's leading scorer,Group stage (2018),No,Second World Cup appearance; first was 2018 Russia,,,,,,,,,,,,,,,,
